row,building,tag,room before,room after,chosen from,kind of change
238,HQ,VAV0078,FINANCE STAFF 1.006,1.006 FINANCE PROFSTAFF,D->E,"same room, name reordered"
239,HQ,VAV0079,FINANCE STAFF 1.007,1.007 FINANCE CLERICAL PROFSTAFF,D->E,"same room, name reordered"
240,HQ,VAV0080,GROUND FLOOR VIP ENTRANCE 1.401,1.401 GROUND FLOOR VIP ENTRANCE,D,"same room, name reordered"
241,HQ,VAV0081,GROUND FLOOR VIP ENTRANCE 1.401,1.401 GROUND FLOOR VIP ENTRANCE,D,"same room, name reordered"
242,HQ,VAV0082,GROUND FLOOR VIP ENTRANCE 1.401,1.401 GROUND FLOOR VIP ENTRANCE,D,"same room, name reordered"
243,HQ,VAV0083,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D,"same room, name reordered"
244,HQ,VAV0084,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D,"same room, name reordered"
245,HQ,VAV0085,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D,"same room, name reordered"
246,HQ,VAV0086,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D,"same room, name reordered"
247,HQ,VAV0087,FINANCE MEETING ROOM 1.108,1.108 FINANCE MEETING ROOM,D,"same room, name reordered"
248,HQ,VAV0088,CONSULTANT SPACE 1.109,1.109 CONSULTANT SPACE TRAINEES,D->E,"same room, name reordered"
249,HQ,VAV0089,CONSULTANT SPACE 1.109,1.109 CONSULTANT SPACE TRAINEES,J->E,"same room, name reordered"
250,HQ,VAV0090,CONFERENCE ROOM 1.110,G.104 LOBBY,D->E,DIFFERENT ROOM
251,HQ,VAV0091,PRAYER ROOM 1.105,1.105 PRAYER ROOM,D,"same room, name reordered"
252,HQ,VAV0092,FINANCE CASHIER 1.106,1.106 FINANCE CASHIER,D,"same room, name reordered"
253,HQ,VAV0093,FINANCE ROOM 1.116,1.116 FINANCE SECURE ROOM,D->E,"same room, name reordered"
254,HQ,VAV0094,FINANCE AUDITOR 1.117,1.117 FINANCE AUDITOR,D,"same room, name reordered"
255,HQ,VAV0095,FINANCE AUDITOR 1.115,1.115 FINANCE AUDITOR,D,"same room, name reordered"
256,HQ,VAV0096,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,J,"same room, name reordered"
