subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
entity:QNL_B_089_SERVER_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.089 SERVER ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_091_FUEL_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.091 FUEL ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_092_STORAGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.092 STORAGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_0924_FUEL_TANK_CHERRY_PICKER_PANKING,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.0924 FUEL TANK CHERRY PICKER PANKING,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_093_TRANSH_CHAMBER,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.093 TRANSH CHAMBER,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_095_EMERGENCY_LIGHTING_BATTERY_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.095 EMERGENCY LIGHTING BATTERY ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_100_LOADING_DOCK,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.100 LOADING DOCK,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_101_SHIPPING_CLERK,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.101 SHIPPING CLERK,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_102_SECURITY_&_BMS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.102 SECURITY & BMS,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_103_PROCESSING_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.103 PROCESSING ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_104_STORAGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.104 STORAGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_106_RES_REST_ROOM_SECURITY,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.106 RES REST ROOM SECURITY,,,,,,,,,,,,,,,,,,,,
