old_identifier,new_identifier,kind
entity:QNL_AHU_B_006_DuctTemp09_PV,entity:QNL_AHU-B-006_Duct-Temperature-9,point
entity:QNL_AHU_B_006_DuctTemp10_PV,entity:QNL_AHU-B-006_Duct-Temperature-10,point
entity:QNL_AHU_B_006_DuctTemp11_PV,entity:QNL_AHU-B-006_Duct-Temperature-11,point
entity:QNL_AHU_B_006_Electric-Coil,entity:QNL_AHU-B-006_Electric-Coil,part
entity:QNL_AHU_B_006_EnableDisableCmd,entity:QNL_AHU-B-006_Enable-Disable-Command,point
entity:QNL_AHU_B_006_FrshAirTemp_PV,entity:QNL_AHU-B-006_Fresh-Air-Temperature,point
entity:QNL_AHU_B_006_MixAirTemp_PV,entity:QNL_AHU-B-006_Mixed-Air-Temperature,point
entity:QNL_AHU_B_006_RtnAirDuctPrs_PV,entity:QNL_AHU-B-006_Return-Air-Duct-Pressure,point
entity:QNL_AHU_B_006_RtnAirHumd_PV,entity:QNL_AHU-B-006_Return-Air-Humidity,point
entity:QNL_AHU_B_006_RtnAirTemp_PV,entity:QNL_AHU-B-006_Return-Air-Temperature,point
entity:QNL_AHU_B_006_RtnHumiditySP,entity:QNL_AHU-B-006_Return-Air-Humidity-Setpoint,point
entity:QNL_AHU_B_006_SF,entity:QNL_AHU-B-006_SF,part
entity:QNL_AHU_B_006_SF_Motor,entity:QNL_AHU-B-006_SF-Motor,part
entity:QNL_AHU_B_006_SpcHumd01_PV,entity:QNL_AHU-B-006_Space-Humidity-1,point
entity:QNL_AHU_B_006_SpcHumd02_PV,entity:QNL_AHU-B-006_Space-Humidity-2,point
entity:QNL_AHU_B_006_SpcHumd03_PV,entity:QNL_AHU-B-006_Space-Humidity-3,point
entity:QNL_AHU_B_006_SpcHumd04_PV,entity:QNL_AHU-B-006_Space-Humidity-4,point
entity:QNL_AHU_B_006_SpcHumd05_PV,entity:QNL_AHU-B-006_Space-Humidity-5,point
entity:QNL_AHU_B_006_SpcHumd06_PV,entity:QNL_AHU-B-006_Space-Humidity-6,point
entity:QNL_AHU_B_006_SpcHumd07_PV,entity:QNL_AHU-B-006_Space-Humidity-7,point
entity:QNL_AHU_B_006_SpcHumd08_PV,entity:QNL_AHU-B-006_Space-Humidity-8,point
entity:QNL_AHU_B_006_SpcHumd09_PV,entity:QNL_AHU-B-006_Space-Humidity-9,point
entity:QNL_AHU_B_006_SpcHumd10_PV,entity:QNL_AHU-B-006_Space-Humidity-10,point
entity:QNL_AHU_B_006_SpcHumd11_PV,entity:QNL_AHU-B-006_Space-Humidity-11,point
entity:QNL_AHU_B_006_SupAirDuctPrs_PV,entity:QNL_AHU-B-006_Supply-Air-Duct-Pressure,point
entity:QNL_AHU_B_006_SupAirFlow_PV,entity:QNL_AHU-B-006_Supply-Air-Flow,point
entity:QNL_AHU_B_006_SupAirHumd_PV,entity:QNL_AHU-B-006_Supply-Air-Humidity,point
entity:QNL_AHU_B_006_SupAirTemp_PV,entity:QNL_AHU-B-006_Supply-Air-Temperature,point
entity:QNL_AHU_B_006_SupFan_AutoManCmd,entity:QNL_AHU-B-006_Supply-Fan-Auto-Manual-Command,point
entity:QNL_AHU_B_006_SupFan_FTSP,entity:QNL_AHU-B-006_Supply-Fan-Fail-To-Stop-Alarm,point
