kind,source_identifier,ontology_identifier,rdfs:label_en
room,entity:QNL_B-ST-05_ST-05,entity:QNL_B_ST-05_ST-05,B.ST-05_ST-05
room,entity:QNL_B-ST-11_ST-11,entity:QNL_B_ST-11_ST-11,B.ST-11_ST-11
room,entity:QNL_B-ST-12_ST-12,entity:QNL_B_ST-12_ST-12,B.ST-12_ST-12
room,entity:QNL_ST-04_ST-04,entity:QNL_B_ST-04_ST-04,B.ST-04_ST-04
room,entity:QNL_L1_154_CORRIDOR,entity:QNL_L1_154_CORRIDOR,L1.154_CORRIDOR
room,entity:QNL_L1_155_SECURITY_ROOM,entity:QNL_L1_155_SECURITY_ROOM,L1.155_SECURITY_ROOM
room,entity:QNL_L1_156_M2_HVAC_SHAFT,entity:QNL_L1_156_M2_HVAC_SHAFT,L1.156_M2_HVAC_SHAFT
room,entity:QNL_L1_157_E2_ELEC_SHAFT,entity:QNL_L1_157_E2_ELEC_SHAFT,L1.157_E2_ELEC_SHAFT
room,entity:QNL_L1_158_M1_HVAC_SHAFT,entity:QNL_L1_158_M1_HVAC_SHAFT,L1.158_M1_HVAC_SHAFT
room,entity:QNL_L1_159_E1_ELEC_SHAFT,entity:QNL_L1_159_E1_ELEC_SHAFT,L1.159_E1_ELEC_SHAFT
room,entity:QNL_L1_160_M3_HVAC_SHAFT,entity:QNL_L1_160_M3_HVAC_SHAFT,L1.160_M3_HVAC_SHAFT
room,entity:QNL_L1_161_N2_PIPE_SHAFT,entity:QNL_L1_161_N2_PIPE_SHAFT,L1.161_N2_PIPE_SHAFT
room,entity:QNL_L1_162_STORE,entity:QNL_L1_162_STORE,L1.162_STORE
room,entity:QNL_L1_001_OPEN_READING_AREA,entity:QNL_L1_001_OPEN_READING_AREA,L1.001_OPEN_READING_AREA
room,entity:QNL_L1_002_BRAILLE_READER,entity:QNL_L1_002_BRAILLE_READER,L1.002_BRAILLE_READER
room,entity:QNL_L1_002A_GREEM_ROOM,entity:QNL_L1_002A_GREEM_ROOM,L1.002A_GREEM_ROOM
room,entity:QNL_L1_003_TUTORING_HEAD,entity:QNL_L1_003_TUTORING_HEAD,L1.003_TUTORING_HEAD
room,entity:QNL_L1_004_WRITING_ROOM1,entity:QNL_L1_004_WRITING_ROOM1,L1.004_WRITING_ROOM1
room,entity:QNL_L1_005_WRITING_ROOM2,entity:QNL_L1_005_WRITING_ROOM2,L1.005_WRITING_ROOM2
room,entity:QNL_L1_006_WRITING_HEAD,entity:QNL_L1_006_WRITING_HEAD,L1.006_WRITING_HEAD
room,entity:QNL_L1_007_STUDENT_CARRLES,entity:QNL_L1_007_STUDENT_CARRLES,L1.007_STUDENT_CARRLES
room,entity:QNL_L1_020_INFO_LITERACY_INSTR1,entity:QNL_L1_020_INFO_LITERACY_INSTR1,L1.020_INFO_LITERACY_INSTR1
room,entity:QNL_L1_021_INFO_LITERACY_INSTR2,entity:QNL_L1_021_INFO_LITERACY_INSTR2,L1.021_INFO_LITERACY_INSTR2
room,entity:QNL_L1_022_COMPUTER_CLASSROOM,entity:QNL_L1_022_COMPUTER_CLASSROOM,L1.022_COMPUTER_CLASSROOM
room,entity:QNL_L1023_1_CORRIDOR,entity:QNL_L1_023_1_CORRIDOR,L1.023_1_CORRIDOR
room,entity:QNL_L1023_2_CORRIDOR,entity:QNL_L1_023_2_CORRIDOR,L1.023_2_CORRIDOR
room,entity:QNL_L1023_3_CORRIDOR,entity:QNL_L1_023_3_CORRIDOR,L1.023_3_CORRIDOR
room,entity:QNL_L1_024_REST_ROOM_MEN,entity:QNL_L1_024_REST_ROOM_MEN,L1.024_REST_ROOM_MEN
room,entity:QNL_L1_025_REST_ROOM_WOMEN,entity:QNL_L1_025_REST_ROOM_WOMEN,L1.025_REST_ROOM_WOMEN
room,entity:QNL_L1_026_GROUP_STUDY_ROOM1,entity:QNL_L1_026_GROUP_STUDY_ROOM1,L1.026_GROUP_STUDY_ROOM1
room,entity:QNL_L1_027_GROUP_STUDY_ROOM2,entity:QNL_L1_027_GROUP_STUDY_ROOM2,L1.027_GROUP_STUDY_ROOM2
room,entity:QNL_L1_028_GROUP_STUDY_ROOM3,entity:QNL_L1_028_GROUP_STUDY_ROOM3,L1.028_GROUP_STUDY_ROOM3
room,entity:QNL_L1_029_GROUP_STUDY_ROOM4,entity:QNL_L1_029_GROUP_STUDY_ROOM4,L1.029_GROUP_STUDY_ROOM4
room,entity:QNL_L1_030_ICT_ROOM_02,entity:QNL_L1_030_ICT_ROOM_02,L1.030_ICT_ROOM_02
room,entity:QNL_L1_040_HEAD_LIBRARIAN_OFFICE,entity:QNL_L1_040_HEAD_LIBRARIAN_OFFICE,L1.040_HEAD_LIBRARIAN_OFFICE
room,entity:QNL_L1_041_MULTPURPOSE_ROOM,entity:QNL_L1_041_MULTPURPOSE_ROOM,L1.041_MULTPURPOSE_ROOM
room,entity:QNL_L1_042_LOBBY,entity:QNL_L1_042_LOBBY,L1.042_LOBBY
room,entity:QNL_L1_043_BABY_CHAN,entity:QNL_L1_043_BABY_CHAN,L1.043_BABY_CHAN
room,entity:QNL_L1_044_BREAST_FEEDING,entity:QNL_L1_044_BREAST_FEEDING,L1.044_BREAST_FEEDING
room,entity:QNL_L1_045_FEMALE_TOILET,entity:QNL_L1_045_FEMALE_TOILET,L1.045_FEMALE_TOILET
room,entity:QNL_L1_046_MALE_TOILET,entity:QNL_L1_046_MALE_TOILET,L1.046_MALE_TOILET
room,entity:QNL_L1_047_CHILDREN_LIBRARY_-_PRE_SCHOOL_READING_&_PLAYING,entity:QNL_L1_047_CHILDREN_LIBRARY_-_PRE_SCHOOL_READING_&_PLAYING,L1.047_CHILDREN_LIBRARY_-_PRE_SCHOOL_READING_&_PLAYING
room,entity:QNL_L1_048_STAFF_OFFICE,entity:QNL_L1_048_STAFF_OFFICE,L1.048_STAFF_OFFICE
room,entity:QNL_L1_049_STORAGE,entity:QNL_L1_049_STORAGE,L1.049_STORAGE
